number,value,datetime_start,datetime_complete,duration_s,param.module_config.vin.use_point_encoder,param.module_config.vin.use_traj_encoder,param.module_config.vin.enable_semidense_frustum,param.module_config.vin.semidense_include_obs_count,param.module_config.vin.semidense_visibility_embed,param.module_config.vin.semidense_frustum_mask_invalid,param.module_config.vin.use_voxel_valid_frac_feature,param.module_config.vin.use_voxel_valid_frac_gate,param.module_config.vin.global_pool_grid_size,param.module_config.optimizer.learning_rate,param.module_config.optimizer.weight_decay,param.module_config.vin.head_hidden_dim,param.module_config.vin.head_num_layers,param.module_config.vin.head_dropout,param.module_config.vin.field_dim,param.module_config.vin.field_gn_groups,param.module_config.vin.point_encoder.out_dim,param.module_config.vin.point_encoder.max_points,param.module_config.vin.semidense_proj_grid_size,param.module_config.vin.semidense_proj_max_points,param.module_config.vin.semidense_frustum_max_points,param.module_config.lr_scheduler.max_lr,param.module_config.lr_scheduler.div_factor,param.module_config.lr_scheduler.final_div_factor,param.module_config.lr_scheduler.pct_start
20,0.7247058153152466,2026-01-06 06:57:19.212739,2026-01-06 07:29:43.288402,1944.075663,False,True,True,False,True,True,True,False,8,3.498274946816459e-05,0.0032501263020804556,,,,,,,,,,,,,,
23,0.7248201966285706,2026-01-06 08:34:27.672215,2026-01-06 09:06:53.488239,1945.816024,False,True,True,False,True,True,True,False,4,0.0001821607714038779,0.07873865684908014,,,,,,,,,,,,,,
8,0.7248542904853821,2026-01-06 00:28:24.283783,2026-01-06 01:00:49.858478,1945.574695,False,True,True,True,True,True,True,False,5,0.00011598651729339556,0.005669566799732932,,,,,,,,,,,,,,
9,0.7250201106071472,2026-01-06 01:00:49.876551,2026-01-06 01:33:17.624427,1947.747876,False,True,True,True,True,True,True,False,5,4.4505630268533613e-05,0.019307361540016093,,,,,,,,,,,,,,
11,0.725633442401886,2026-01-06 02:05:38.513448,2026-01-06 02:38:04.536027,1946.022579,False,True,True,True,True,True,True,False,5,2.3476147419384422e-05,0.00039236602794502266,,,,,,,,,,,,,,
15,0.7267470955848694,2026-01-06 04:15:12.294992,2026-01-06 04:47:36.394775,1944.099783,False,True,True,False,True,True,False,False,4,8.203325426458949e-05,0.0010542474711157867,,,,,,,,,,,,,,
19,0.7267478108406067,2026-01-06 06:24:54.998938,2026-01-06 06:57:19.194846,1944.195908,False,True,True,False,True,True,False,False,4,0.00015092932939343983,0.00192740005991055,,,,,,,,,,,,,,
16,0.7268134355545044,2026-01-06 04:47:36.410208,2026-01-06 05:20:02.931785,1946.521577,False,True,True,False,True,True,False,False,8,0.00011081196420230505,0.03410446411108197,,,,,,,,,,,,,,
14,0.7276282906532288,2026-01-06 03:42:50.673300,2026-01-06 04:15:12.277637,1941.604337,False,True,False,False,True,False,False,True,8,1.0342647498634156e-05,0.07508845253893066,,,,,,,,,,,,,,
13,0.7277396321296692,2026-01-06 03:10:29.891032,2026-01-06 03:42:50.656329,1940.765297,False,False,False,True,False,True,True,True,6,0.00025468874073083874,0.007609445265543688,,,,,,,,,,,,,,
6,0.727940022945404,2026-01-05 23:23:28.500134,2026-01-05 23:55:54.300801,1945.800667,False,False,False,False,True,True,True,True,5,1.1108095732789401e-05,0.0006969876417566859,,,,,,,,,,,,,,
4,0.7286505103111267,2026-01-05 22:18:58.931076,2026-01-05 22:51:00.740094,1921.809018,False,True,True,True,True,True,False,False,8,1.6528617200506095e-05,0.008056541082809626,,,,,,,,,,,,,,
12,0.7294303178787231,2026-01-06 02:38:04.552483,2026-01-06 03:10:29.872792,1945.320309,False,False,True,False,True,True,False,False,7,4.2784526408915375e-05,0.00012685639457917525,,,,,,,,,,,,,,
17,0.7294324636459351,2026-01-06 05:20:02.948950,2026-01-06 05:52:29.782599,1946.833649,False,False,True,False,True,True,False,False,7,2.6994917217144537e-05,0.0011642520331921363,,,,,,,,,,,,,,
7,0.7295556664466858,2026-01-05 23:55:54.330033,2026-01-06 00:28:24.263403,1949.93337,False,False,False,True,True,True,False,True,7,0.000247485846843363,0.0033967980489743635,,,,,,,,,,,,,,
5,0.7296472787857056,2026-01-05 22:51:00.774216,2026-01-05 23:23:28.483705,1947.709489,False,False,True,False,True,True,True,False,5,7.507127487159051e-05,0.00011086733604443435,,,,,,,,,,,,,,
18,0.7296522259712219,2026-01-06 05:52:29.799731,2026-01-06 06:24:54.980764,1945.181033,False,False,True,True,True,True,True,False,6,6.934013089948461e-05,0.013052230541178366,,,,,,,,,,,,,,
21,0.7296913862228394,2026-01-06 07:29:43.303834,2026-01-06 08:02:07.932278,1944.628444,False,False,True,True,True,True,False,False,6,1.7014458976061943e-05,0.0003831979857540247,,,,,,,,,,,,,,
22,0.7297847270965576,2026-01-06 08:02:07.952590,2026-01-06 08:34:27.655352,1939.702762,False,False,False,True,False,False,False,True,6,6.190312704193285e-05,0.00011348991897996625,,,,,,,,,,,,,,
10,0.7310072779655457,2026-01-06 01:33:17.640985,2026-01-06 02:05:38.496671,1940.855686,False,False,True,True,True,True,True,False,5,1.8081048311110217e-05,0.00022766851036700695,,,,,,,,,,,,,,
30,0.7335764169692993,2026-01-06 15:29:05.852211,2026-01-06 16:01:23.806862,1937.954651,True,True,True,False,True,True,True,True,5,,0.014932675294752827,256.0,1.0,0.37272316713924125,32.0,5.0,128.0,4000.0,16.0,5120.0,1024.0,0.001604495861294479,19.41109007446488,88959.79199589779,0.3322744951157315
26,0.7421087622642517,2026-01-06 13:19:34.785327,2026-01-06 13:51:57.116628,1942.331301,True,True,True,False,True,False,True,False,4,,0.005401130708854076,448.0,1.0,0.3975110715880851,56.0,1.0,64.0,1000.0,24.0,5120.0,2048.0,0.0005483461218610998,32.131162972187425,17133.958556010617,0.21745296231526437
29,0.743749737739563,2026-01-06 14:56:46.109938,2026-01-06 15:29:05.838590,1939.728652,False,True,,,,,True,False,7,,0.04229817086955952,320.0,2.0,0.15542877571884992,40.0,5.0,,,,,,0.00021999870367718215,46.18864946864295,2285.4093420588797,0.07798507809283892
32,0.7495282888412476,2026-01-06 16:33:47.708623,2026-01-06 17:06:11.186165,1943.477542,False,True,,,,,True,False,8,,0.00145560243243823,128.0,2.0,0.2854896299789407,16.0,6.0,,,,,,0.0004696102260776016,15.136282480101299,707.0634374112387,0.40622538478816805
33,0.7503791451454163,2026-01-06 17:06:11.214697,2026-01-06 17:38:35.721830,1944.507133,False,True,,,,,True,False,8,,0.007081483986759547,512.0,3.0,0.3083018718743228,64.0,3.0,,,,,,6.565406447061528e-05,27.938659919778704,13025.324664788222,0.14560860886675797
25,0.7537668943405151,2026-01-06 12:46:46.352018,2026-01-06 13:19:34.758791,1968.406773,True,True,True,False,False,False,True,False,4,,0.00371591696572789,512.0,3.0,0.05217505820172083,64.0,8.0,256.0,6000.0,8.0,2048.0,256.0,0.0021318766640547383,49.92894493767651,70148.55108758846,0.050540244960451036
31,0.7574250102043152,2026-01-06 16:01:23.821710,2026-01-06 16:33:47.693641,1943.871931,False,True,,,,,True,False,4,,0.008633425556628502,384.0,3.0,0.10906938936142802,48.0,3.0,,,,,,5.823543002673512e-05,39.00875185861257,13284.954207755527,0.19982500526028488
24,0.759514331817627,2026-01-06 12:14:01.932616,2026-01-06 12:46:46.322191,1964.389575,True,True,True,False,False,False,True,False,4,,0.07529469282824594,128.0,2.0,0.2638040529713811,16.0,4.0,64.0,2500.0,20.0,8192.0,1280.0,2.150253866255266e-05,6.7010243416263435,442.62506204337956,0.4692777006233444
27,0.7602723836898804,2026-01-06 13:51:57.143989,2026-01-06 14:24:20.062708,1942.918719,True,True,True,False,False,True,True,False,5,,0.030145645507405238,64.0,3.0,0.009280907505180763,8.0,8.0,256.0,6000.0,8.0,8192.0,256.0,1.1271902098975996e-05,6.521899329861803,175.55064779378085,0.4996813279610457
28,0.7639735341072083,2026-01-06 14:24:20.077951,2026-01-06 14:56:46.094947,1946.016996,True,True,True,False,True,True,True,False,4,,0.002187220507077029,256.0,1.0,0.19766639766513194,32.0,1.0,192.0,4000.0,16.0,2048.0,2048.0,6.8847357189515e-05,27.182295569567557,2980.9543048365013,0.30259525994810305
