number,state,value,module_config.vin.head_hidden_dim,module_config.vin.head_num_layers,module_config.vin.head_dropout,module_config.vin.head_activation,module_config.vin.field_dim,module_config.vin.field_gn_groups,module_config.vin.global_pool_grid_size,module_config.vin.pose_scale_init,module_config.vin.scene_field_channels,module_config.optimizer.learning_rate,module_config.optimizer.weight_decay,module_config.vin.use_point_encoder,module_config.vin.use_traj_encoder,module_config.vin.enable_semidense_frustum,module_config.vin.semidense_include_obs_count,module_config.vin.semidense_visibility_embed,module_config.vin.semidense_frustum_mask_invalid,module_config.vin.use_voxel_valid_frac_feature,module_config.vin.use_voxel_valid_frac_gate,module_config.vin.point_encoder.out_dim,module_config.vin.point_encoder.max_points,module_config.vin.semidense_proj_grid_size,module_config.vin.semidense_proj_max_points,module_config.vin.semidense_frustum_max_points,module_config.lr_scheduler.max_lr,module_config.lr_scheduler.div_factor,module_config.lr_scheduler.final_div_factor,module_config.lr_scheduler.pct_start
0,FAIL,,192.0,1.0,0.15349050666614247,gelu,96.0,5.0,8.0,"0.5,1.0",occ_pr+counts_norm,7.784679681611905e-05,0.0006450099622956392,,,,,,,,,,,,,,,,,
2,FAIL,0.7495880126953125,,,,,,,5.0,,,6.509326299365887e-05,0.0003687312564133651,False,True,False,False,True,True,True,False,,,,,,,,,
3,FAIL,,,,,,,,6.0,,,0.00010850691819635714,0.041843080287155304,False,False,True,False,True,True,False,True,,,,,,,,,
4,COMPLETE,0.7286505103111267,,,,,,,8.0,,,1.6528617200506095e-05,0.008056541082809626,False,True,True,True,True,True,False,False,,,,,,,,,
5,COMPLETE,0.7296472787857056,,,,,,,5.0,,,7.507127487159051e-05,0.00011086733604443435,False,False,True,False,True,True,True,False,,,,,,,,,
6,COMPLETE,0.727940022945404,,,,,,,5.0,,,1.1108095732789401e-05,0.0006969876417566859,False,False,False,False,True,True,True,True,,,,,,,,,
7,COMPLETE,0.7295556664466858,,,,,,,7.0,,,0.000247485846843363,0.0033967980489743635,False,False,False,True,True,True,False,True,,,,,,,,,
8,COMPLETE,0.7248542904853821,,,,,,,5.0,,,0.00011598651729339556,0.005669566799732932,False,True,True,True,True,True,True,False,,,,,,,,,
9,COMPLETE,0.7250201106071472,,,,,,,5.0,,,4.4505630268533613e-05,0.019307361540016093,False,True,True,True,True,True,True,False,,,,,,,,,
10,COMPLETE,0.7310072779655457,,,,,,,5.0,,,1.8081048311110217e-05,0.00022766851036700695,False,False,True,True,True,True,True,False,,,,,,,,,
11,COMPLETE,0.725633442401886,,,,,,,5.0,,,2.3476147419384422e-05,0.00039236602794502266,False,True,True,True,True,True,True,False,,,,,,,,,
12,COMPLETE,0.7294303178787231,,,,,,,7.0,,,4.2784526408915375e-05,0.00012685639457917525,False,False,True,False,True,True,False,False,,,,,,,,,
13,COMPLETE,0.7277396321296692,,,,,,,6.0,,,0.00025468874073083874,0.007609445265543688,False,False,False,True,False,True,True,True,,,,,,,,,
14,COMPLETE,0.7276282906532288,,,,,,,8.0,,,1.0342647498634156e-05,0.07508845253893066,False,True,False,False,True,False,False,True,,,,,,,,,
15,COMPLETE,0.7267470955848694,,,,,,,4.0,,,8.203325426458949e-05,0.0010542474711157867,False,True,True,False,True,True,False,False,,,,,,,,,
16,COMPLETE,0.7268134355545044,,,,,,,8.0,,,0.00011081196420230505,0.03410446411108197,False,True,True,False,True,True,False,False,,,,,,,,,
